Gene,Symbol,Description
DDB_G0270660,DDB_G0270660,hypothetical protein
DDB_G0270662,DDB_G0270662,hypothetical protein
DDB_G0270686,DDB_G0270686,hypothetical protein
DDB_G0270690,DDB_G0270690,hypothetical protein
DDB_G0270692,DDB_G0270692,hypothetical protein
DDB_G0270694,DDB_G0270694,hypothetical protein
DDB_G0270698,DDB_G0270698,hypothetical protein
DDB_G0270700,DDB_G0270700,hypothetical protein
DDB_G0270704,DDB_G0270704,hypothetical protein
DDB_G0270706,DDB_G0270706,hypothetical protein
DDB_G0270708,DDB_G0270708,hypothetical protein
DDB_G0270710,DDB_G0270710,hypothetical protein
DDB_G0270720,DDB_G0270720,hypothetical protein
DDB_G0270722,DDB_G0270722,hypothetical protein
DDB_G0270724,DDB_G0270724,hypothetical protein
DDB_G0270728,DDB_G0270728,hypothetical protein
DDB_G0270732,DDB_G0270732,hypothetical protein
DDB_G0270734,DDB_G0270734,hypothetical protein
DDB_G0270738,DDB_G0270738,hypothetical protein
DDB_G0270740,DDB_G0270740,hypothetical protein
DDB_G0270742,DDB_G0270742,hypothetical protein
DDB_G0270754,vps16,hypothetical protein
DDB_G0270758,DDB_G0270758,hypothetical protein
DDB_G0270760,DDB_G0270760,hypothetical protein
DDB_G0270768,DDB_G0270768,hypothetical protein
DDB_G0270770,DDB_G0270770,hypothetical protein
DDB_G0270772,DDB_G0270772,hypothetical protein
DDB_G0270774,DDB_G0270774,hypothetical protein
DDB_G0270778,DDB_G0270778,hypothetical protein
DDB_G0270780,DDB_G0270780,hypothetical protein
DDB_G0270786,DDB_G0270786,hypothetical protein
DDB_G0270788,DDB_G0270788,hypothetical protein
DDB_G0270790,DDB_G0270790,hypothetical protein
DDB_G0270792,DDB_G0270792,hypothetical protein
DDB_G0270794,DDB_G0270794,hypothetical protein
DDB_G0270796,DDB_G0270796,hypothetical protein
DDB_G0270800,DDB_G0270800,hypothetical protein
DDB_G0270802,DDB_G0270802,hypothetical protein
DDB_G0270804,DDB_G0270804,hypothetical protein
DDB_G0270806,DDB_G0270806,hypothetical protein
DDB_G0270810,DDB_G0270810,hypothetical protein
DDB_G0270812,DDB_G0270812,hypothetical protein
DDB_G0270816,DDB_G0270816,hypothetical protein
DDB_G0270818,DDB_G0270818,hypothetical protein
DDB_G0270820,DDB_G0270820,hypothetical protein
DDB_G0270822,DDB_G0270822,hypothetical protein
DDB_G0270824,DDB_G0270824,hypothetical protein
DDB_G0270828,DDB_G0270828,hypothetical protein
DDB_G0270830,bopA,hypothetical protein
DDB_G0270834,sgmA,hypothetical protein
DDB_G0270840,DDB_G0270840,hypothetical protein
DDB_G0270842,DDB_G0270842,hypothetical protein
DDB_G0270848,DDB_G0270848,hypothetical protein
DDB_G0270850,DDB_G0270850,hypothetical protein
DDB_G0270852,DDB_G0270852,hypothetical protein
DDB_G0270854,DDB_G0270854,hypothetical protein
DDB_G0270858,DDB_G0270858,hypothetical protein
DDB_G0270860,DDB_G0270860,hypothetical protein
DDB_G0270862,DDB_G0270862,hypothetical protein
DDB_G0270864,DDB_G0270864,hypothetical protein
DDB_G0270868,DDB_G0270868,hypothetical protein
DDB_G0270872,DDB_G0270872,hypothetical protein
DDB_G0270878,DDB_G0270878,hypothetical protein
DDB_G0270882,nosip,hypothetical protein
DDB_G0270884,abnA,hypothetical protein
DDB_G0270886,DDB_G0270886,hypothetical protein
DDB_G0270888,DDB_G0270888,hypothetical protein
DDB_G0270890,DDB_G0270890,hypothetical protein
DDB_G0270892,DDB_G0270892,hypothetical protein
DDB_G0270896,DDB_G0270896,hypothetical protein
DDB_G0270898,DDB_G0270898,hypothetical protein
DDB_G0270902,DDB_G0270902,hypothetical protein
DDB_G0270912,DDB_G0270912,hypothetical protein
DDB_G0270914,DDB_G0270914,hypothetical protein
DDB_G0270916,DDB_G0270916,hypothetical protein
DDB_G0270918,DDB_G0270918,hypothetical protein
DDB_G0270920,DDB_G0270920,hypothetical protein
DDB_G0270922,DDB_G0270922,hypothetical protein
DDB_G0270924,DDB_G0270924,hypothetical protein
DDB_G0270926,DDB_G0270926,hypothetical protein
DDB_G0270934,DDB_G0270934,hypothetical protein
DDB_G0270936,DDB_G0270936,hypothetical protein
DDB_G0270938,DDB_G0270938,hypothetical protein
DDB_G0270940,DDB_G0270940,hypothetical protein
DDB_G0270942,DDB_G0270942,hypothetical protein
DDB_G0270950,DDB_G0270950,hypothetical protein
DDB_G0270952,DDB_G0270952,hypothetical protein
DDB_G0270954,DDB_G0270954,hypothetical protein
DDB_G0270958,DDB_G0270958,hypothetical protein
DDB_G0270964,DDB_G0270964,hypothetical protein
DDB_G0270966,DDB_G0270966,hypothetical protein
DDB_G0270968,DDB_G0270968,hypothetical protein
DDB_G0270970,DDB_G0270970,hypothetical protein
DDB_G0270974,DDB_G0270974,hypothetical protein
DDB_G0270976,DDB_G0270976,hypothetical protein
DDB_G0270978,DDB_G0270978,hypothetical protein
DDB_G0270980,DDB_G0270980,hypothetical protein
DDB_G0270982,DDB_G0270982,hypothetical protein
DDB_G0270990,DDB_G0270990,hypothetical protein
DDB_G0270996,DDB_G0270996,hypothetical protein
DDB_G0270998,DDB_G0270998,hypothetical protein
DDB_G0271006,DDB_G0271006,hypothetical protein
DDB_G0271008,DDB_G0271008,hypothetical protein
DDB_G0271010,DDB_G0271010,hypothetical protein
DDB_G0271014,DDB_G0271014,hypothetical protein
DDB_G0271016,DDB_G0271016,hypothetical protein
DDB_G0271018,DDB_G0271018,hypothetical protein
DDB_G0271020,DDB_G0271020,hypothetical protein
DDB_G0271024,DDB_G0271024,hypothetical protein
DDB_G0271026,DDB_G0271026,hypothetical protein
DDB_G0271028,DDB_G0271028,hypothetical protein
DDB_G0271030,DDB_G0271030,hypothetical protein
DDB_G0271034,DDB_G0271034,hypothetical protein
DDB_G0271038,DDB_G0271038,hypothetical protein
DDB_G0271042,DDB_G0271042,hypothetical protein
DDB_G0271044,DDB_G0271044,hypothetical protein
DDB_G0271046,DDB_G0271046,hypothetical protein
DDB_G0271054,DDB_G0271054,hypothetical protein
DDB_G0271056,DDB_G0271056,hypothetical protein
DDB_G0271058,vilC,hypothetical protein
DDB_G0271060,DDB_G0271060,hypothetical protein
DDB_G0271066,DDB_G0271066,hypothetical protein
DDB_G0271068,DDB_G0271068,hypothetical protein
DDB_G0271070,DDB_G0271070,hypothetical protein
DDB_G0271072,med27,hypothetical protein
DDB_G0271074,DDB_G0271074,hypothetical protein
DDB_G0271076,DDB_G0271076,hypothetical protein
DDB_G0271080,DDB_G0271080,hypothetical protein
DDB_G0271084,DDB_G0271084,hypothetical protein
DDB_G0271086,DDB_G0271086,hypothetical protein
DDB_G0271098,DDB_G0271098,hypothetical protein
DDB_G0271100,DDB_G0271100,hypothetical protein
DDB_G0271102,DDB_G0271102,hypothetical protein
DDB_G0271104,DDB_G0271104,hypothetical protein
DDB_G0271108,DDB_G0271108,hypothetical protein
DDB_G0271110,DDB_G0271110,hypothetical protein
DDB_G0271112,DDB_G0271112,hypothetical protein
DDB_G0271114,DDB_G0271114,hypothetical protein
DDB_G0271120,DDB_G0271120,hypothetical protein
DDB_G0271124,DDB_G0271124,hypothetical protein
DDB_G0271128,DDB_G0271128,hypothetical protein
DDB_G0271130,DDB_G0271130,hypothetical protein
DDB_G0271132,DDB_G0271132,hypothetical protein
DDB_G0271144,cnxA,hypothetical protein
DDB_G0271150,DDB_G0271150,hypothetical protein
DDB_G0271152,DDB_G0271152,hypothetical protein
DDB_G0271154,DDB_G0271154,hypothetical protein
DDB_G0271156,DDB_G0271156,hypothetical protein
DDB_G0271158,DDB_G0271158,hypothetical protein
DDB_G0271160,DDB_G0271160,hypothetical protein
DDB_G0271162,DDB_G0271162,hypothetical protein
DDB_G0271164,DDB_G0271164,hypothetical protein
DDB_G0271166,DDB_G0271166,hypothetical protein
DDB_G0271168,DDB_G0271168,hypothetical protein
DDB_G0271172,DDB_G0271172,hypothetical protein
DDB_G0271176,DDB_G0271176,hypothetical protein
DDB_G0271178,DDB_G0271178,hypothetical protein
DDB_G0271180,DDB_G0271180,hypothetical protein
DDB_G0271186,DDB_G0271186,hypothetical protein
DDB_G0271188,DDB_G0271188,hypothetical protein
DDB_G0271190,DDB_G0271190,hypothetical protein
DDB_G0271192,DDB_G0271192,hypothetical protein
DDB_G0271194,DDB_G0271194,hypothetical protein
DDB_G0271196,DDB_G0271196,hypothetical protein
DDB_G0271198,DDB_G0271198,hypothetical protein
DDB_G0271202,DDB_G0271202,hypothetical protein
DDB_G0271204,DDB_G0271204,hypothetical protein
DDB_G0271210,DDB_G0271210,hypothetical protein
DDB_G0271212,DDB_G0271212,hypothetical protein
DDB_G0271214,DDB_G0271214,hypothetical protein
DDB_G0271216,DDB_G0271216,hypothetical protein
DDB_G0271218,DDB_G0271218,hypothetical protein
DDB_G0271220,DDB_G0271220,hypothetical protein
DDB_G0271226,DDB_G0271226,hypothetical protein
DDB_G0271228,DDB_G0271228,hypothetical protein
DDB_G0271232,DDB_G0271232,hypothetical protein
DDB_G0271234,DDB_G0271234,hypothetical protein
DDB_G0271238,DDB_G0271238,hypothetical protein
DDB_G0271242,DDB_G0271242,hypothetical protein
DDB_G0271244,DDB_G0271244,hypothetical protein
DDB_G0271246,med19,hypothetical protein
DDB_G0271248,DDB_G0271248,hypothetical protein
DDB_G0271250,DDB_G0271250,hypothetical protein
DDB_G0271252,DDB_G0271252,hypothetical protein
DDB_G0271254,DDB_G0271254,hypothetical protein
DDB_G0271256,DDB_G0271256,hypothetical protein
DDB_G0271260,DDB_G0271260,hypothetical protein
DDB_G0271266,DDB_G0271266,hypothetical protein
DDB_G0271268,DDB_G0271268,hypothetical protein
DDB_G0271274,DDB_G0271274,hypothetical protein
DDB_G0271276,DDB_G0271276,hypothetical protein
DDB_G0271280,DDB_G0271280,hypothetical protein
DDB_G0271290,DDB_G0271290,hypothetical protein
DDB_G0271294,DDB_G0271294,hypothetical protein
DDB_G0271296,DDB_G0271296,hypothetical protein
DDB_G0271300,DDB_G0271300,hypothetical protein
DDB_G0271302,DDB_G0271302,hypothetical protein
DDB_G0271304,DDB_G0271304,hypothetical protein
DDB_G0271308,DDB_G0271308,hypothetical protein
DDB_G0271314,DDB_G0271314,hypothetical protein
DDB_G0271316,DDB_G0271316,hypothetical protein
DDB_G0271318,DDB_G0271318,hypothetical protein
DDB_G0271320,DDB_G0271320,hypothetical protein
DDB_G0271322,DDB_G0271322,hypothetical protein
DDB_G0271324,DDB_G0271324,hypothetical protein
DDB_G0271326,DDB_G0271326,hypothetical protein
DDB_G0271328,DDB_G0271328,hypothetical protein
DDB_G0271330,DDB_G0271330,hypothetical protein
DDB_G0271332,DDB_G0271332,hypothetical protein
DDB_G0271336,DDB_G0271336,hypothetical protein
DDB_G0271350,DDB_G0271350,hypothetical protein
DDB_G0271352,DDB_G0271352,hypothetical protein
DDB_G0271354,DDB_G0271354,hypothetical protein
DDB_G0271356,DDB_G0271356,hypothetical protein
DDB_G0271358,DDB_G0271358,hypothetical protein
DDB_G0271360,DDB_G0271360,hypothetical protein
DDB_G0271362,DDB_G0271362,hypothetical protein
DDB_G0271364,DDB_G0271364,hypothetical protein
DDB_G0271366,DDB_G0271366,hypothetical protein
DDB_G0271368,DDB_G0271368,hypothetical protein
DDB_G0271370,DDB_G0271370,hypothetical protein
DDB_G0271374,DDB_G0271374,hypothetical protein
DDB_G0271376,DDB_G0271376,hypothetical protein
DDB_G0271378,DDB_G0271378,hypothetical protein
DDB_G0271380,DDB_G0271380,hypothetical protein
DDB_G0271384,DDB_G0271384,hypothetical protein
DDB_G0271386,DDB_G0271386,hypothetical protein
DDB_G0271390,DDB_G0271390,hypothetical protein
DDB_G0271392,DDB_G0271392,hypothetical protein
DDB_G0271394,DDB_G0271394,hypothetical protein
DDB_G0271396,DDB_G0271396,hypothetical protein
DDB_G0271398,mon2,hypothetical protein
DDB_G0271400,DDB_G0271400,hypothetical protein
DDB_G0271404,DDB_G0271404,hypothetical protein
DDB_G0271406,DDB_G0271406,hypothetical protein
DDB_G0271408,DDB_G0271408,hypothetical protein
DDB_G0271410,DDB_G0271410,hypothetical protein
DDB_G0271412,DDB_G0271412,hypothetical protein
DDB_G0271414,DDB_G0271414,hypothetical protein
DDB_G0271418,DDB_G0271418,hypothetical protein
DDB_G0271422,DDB_G0271422,hypothetical protein
DDB_G0271424,DDB_G0271424,hypothetical protein
DDB_G0271426,DDB_G0271426,hypothetical protein
DDB_G0271428,DDB_G0271428,hypothetical protein
DDB_G0271430,DDB_G0271430,hypothetical protein
DDB_G0271434,DDB_G0271434,hypothetical protein
DDB_G0271438,DDB_G0271438,hypothetical protein
DDB_G0271440,DDB_G0271440,hypothetical protein
DDB_G0271444,DDB_G0271444,hypothetical protein
DDB_G0271446,DDB_G0271446,hypothetical protein
DDB_G0271448,DDB_G0271448,hypothetical protein
DDB_G0271450,DDB_G0271450,hypothetical protein
DDB_G0271452,DDB_G0271452,hypothetical protein
DDB_G0271454,DDB_G0271454,hypothetical protein
DDB_G0271456,DDB_G0271456,hypothetical protein
DDB_G0271458,DDB_G0271458,hypothetical protein
DDB_G0271460,DDB_G0271460,hypothetical protein
DDB_G0271462,DDB_G0271462,hypothetical protein
DDB_G0271466,DDB_G0271466,hypothetical protein
DDB_G0271468,DDB_G0271468,hypothetical protein
DDB_G0271470,DDB_G0271470,hypothetical protein
DDB_G0271472,DDB_G0271472,hypothetical protein
DDB_G0271474,DDB_G0271474,hypothetical protein
DDB_G0271476,DDB_G0271476,hypothetical protein
DDB_G0271478,DDB_G0271478,hypothetical protein
DDB_G0271480,DDB_G0271480,hypothetical protein
DDB_G0271482,DDB_G0271482,hypothetical protein
DDB_G0271484,DDB_G0271484,hypothetical protein
DDB_G0271486,DDB_G0271486,hypothetical protein
DDB_G0271488,vta1,hypothetical protein
DDB_G0271490,melA,hypothetical protein
DDB_G0271508,DDB_G0271508,hypothetical protein
DDB_G0271510,DDB_G0271510,hypothetical protein
DDB_G0271518,DDB_G0271518,hypothetical protein
DDB_G0271526,DDB_G0271526,hypothetical protein
DDB_G0271528,DDB_G0271528,hypothetical protein
DDB_G0271534,DDB_G0271534,hypothetical protein
DDB_G0271542,DDB_G0271542,hypothetical protein
DDB_G0271546,DDB_G0271546,hypothetical protein
DDB_G0271548,DDB_G0271548,hypothetical protein
DDB_G0271552,DDB_G0271552,hypothetical protein
DDB_G0271554,DDB_G0271554,hypothetical protein
DDB_G0271558,DDB_G0271558,hypothetical protein
DDB_G0271560,DDB_G0271560,hypothetical protein
DDB_G0271568,DDB_G0271568,hypothetical protein
DDB_G0271570,DDB_G0271570,hypothetical protein
DDB_G0271574,DDB_G0271574,hypothetical protein
DDB_G0271576,DDB_G0271576,hypothetical protein
DDB_G0271578,DDB_G0271578,hypothetical protein
DDB_G0271582,DDB_G0271582,hypothetical protein
DDB_G0271588,DDB_G0271588,hypothetical protein
DDB_G0271592,DDB_G0271592,hypothetical protein
DDB_G0271594,DDB_G0271594,hypothetical protein
DDB_G0271596,DDB_G0271596,hypothetical protein
DDB_G0271602,DDB_G0271602,hypothetical protein
DDB_G0271606,DDB_G0271606,hypothetical protein
DDB_G0271610,DDB_G0271610,hypothetical protein
DDB_G0271624,DDB_G0271624,hypothetical protein
DDB_G0271630,sac1,hypothetical protein
DDB_G0271634,DDB_G0271634,hypothetical protein
DDB_G0271636,DDB_G0271636,hypothetical protein
DDB_G0271638,DDB_G0271638,hypothetical protein
DDB_G0271640,DDB_G0271640,hypothetical protein
DDB_G0271648,DDB_G0271648,hypothetical protein
DDB_G0271656,DDB_G0271656,hypothetical protein
DDB_G0271658,DDB_G0271658,hypothetical protein
DDB_G0271660,DDB_G0271660,hypothetical protein
DDB_G0271670,DDB_G0271670,hypothetical protein
DDB_G0271674,DDB_G0271674,hypothetical protein
DDB_G0271690,DDB_G0271690,hypothetical protein
DDB_G0271694,DDB_G0271694,hypothetical protein
DDB_G0271698,DDB_G0271698,hypothetical protein
DDB_G0271702,DDB_G0271702,hypothetical protein
DDB_G0271704,DDB_G0271704,hypothetical protein
DDB_G0271722,DDB_G0271722,hypothetical protein
DDB_G0271724,DDB_G0271724,hypothetical protein
DDB_G0271726,DDB_G0271726,hypothetical protein
DDB_G0271728,DDB_G0271728,hypothetical protein
DDB_G0271730,DDB_G0271730,hypothetical protein
DDB_G0271742,DDB_G0271742,hypothetical protein
DDB_G0271748,DDB_G0271748,hypothetical protein
DDB_G0271754,DDB_G0271754,hypothetical protein
DDB_G0271756,DDB_G0271756,hypothetical protein
DDB_G0271758,DDB_G0271758,hypothetical protein
DDB_G0271760,DDB_G0271760,hypothetical protein
DDB_G0271762,DDB_G0271762,hypothetical protein
DDB_G0271764,DDB_G0271764,hypothetical protein
DDB_G0271768,DDB_G0271768,hypothetical protein
DDB_G0271770,DDB_G0271770,hypothetical protein
DDB_G0271784,DDB_G0271784,hypothetical protein
DDB_G0271786,DDB_G0271786,hypothetical protein
DDB_G0271800,DDB_G0271800,hypothetical protein
DDB_G0271802,DDB_G0271802,hypothetical protein
DDB_G0271804,DDB_G0271804,hypothetical protein
DDB_G0271808,DDB_G0271808,hypothetical protein
DDB_G0271810,DDB_G0271810,hypothetical protein
DDB_G0271812,DDB_G0271812,hypothetical protein
DDB_G0271814,DDB_G0271814,hypothetical protein
DDB_G0271816,DDB_G0271816,hypothetical protein
DDB_G0271826,DDB_G0271826,hypothetical protein
DDB_G0271828,DDB_G0271828,hypothetical protein
DDB_G0271830,DDB_G0271830,hypothetical protein
DDB_G0271832,DDB_G0271832,hypothetical protein
DDB_G0271834,DDB_G0271834,hypothetical protein
DDB_G0271836,DDB_G0271836,hypothetical protein
DDB_G0271838,DDB_G0271838,hypothetical protein
DDB_G0271840,DDB_G0271840,hypothetical protein
DDB_G0271848,porA,hypothetical protein
DDB_G0271850,DDB_G0271850,hypothetical protein
DDB_G0271852,DDB_G0271852,hypothetical protein
DDB_G0271854,DDB_G0271854,hypothetical protein
DDB_G0271860,DDB_G0271860,hypothetical protein
DDB_G0271866,DDB_G0271866,hypothetical protein
DDB_G0271872,DDB_G0271872,hypothetical protein
DDB_G0271876,DDB_G0271876,hypothetical protein
DDB_G0271878,DDB_G0271878,hypothetical protein
DDB_G0271888,DDB_G0271888,hypothetical protein
DDB_G0271890,DDB_G0271890,hypothetical protein
DDB_G0271892,DDB_G0271892,hypothetical protein
DDB_G0271894,DDB_G0271894,hypothetical protein
DDB_G0271896,DDB_G0271896,hypothetical protein
DDB_G0271898,DDB_G0271898,hypothetical protein
DDB_G0271900,DDB_G0271900,hypothetical protein
DDB_G0271902,pscA,hypothetical protein
DDB_G0271910,DDB_G0271910,hypothetical protein
DDB_G0271912,DDB_G0271912,hypothetical protein
DDB_G0271916,rtoA,hypothetical protein
DDB_G0271918,DDB_G0271918,hypothetical protein
DDB_G0271920,DDB_G0271920,hypothetical protein
DDB_G0271926,DDB_G0271926,hypothetical protein
DDB_G0271928,DDB_G0271928,hypothetical protein
DDB_G0271930,DDB_G0271930,hypothetical protein
DDB_G0271934,DDB_G0271934,hypothetical protein
DDB_G0271936,DDB_G0271936,hypothetical protein
DDB_G0271938,DDB_G0271938,hypothetical protein
DDB_G0271944,DDB_G0271944,hypothetical protein
DDB_G0271946,DDB_G0271946,hypothetical protein
DDB_G0271950,DDB_G0271950,hypothetical protein
DDB_G0271952,DDB_G0271952,hypothetical protein
DDB_G0271954,DDB_G0271954,hypothetical protein
DDB_G0271958,DDB_G0271958,hypothetical protein
DDB_G0271962,DDB_G0271962,hypothetical protein
DDB_G0271968,DDB_G0271968,hypothetical protein
DDB_G0271970,DDB_G0271970,hypothetical protein
DDB_G0271972,DDB_G0271972,hypothetical protein
DDB_G0271978,DDB_G0271978,hypothetical protein
DDB_G0271982,DDB_G0271982,hypothetical protein
DDB_G0271986,DDB_G0271986,hypothetical protein
DDB_G0271988,DDB_G0271988,hypothetical protein
DDB_G0271990,DDB_G0271990,hypothetical protein
DDB_G0271992,DDB_G0271992,hypothetical protein
DDB_G0271994,DDB_G0271994,hypothetical protein
DDB_G0272000,DDB_G0272000,hypothetical protein
DDB_G0272006,DDB_G0272006,hypothetical protein
DDB_G0272010,DDB_G0272010,hypothetical protein
DDB_G0272014,DDB_G0272014,hypothetical protein
DDB_G0272016,DDB_G0272016,hypothetical protein
DDB_G0272024,DDB_G0272024,hypothetical protein
DDB_G0272026,DDB_G0272026,hypothetical protein
DDB_G0272028,DDB_G0272028,hypothetical protein
DDB_G0272030,DDB_G0272030,hypothetical protein
DDB_G0272034,DDB_G0272034,hypothetical protein
DDB_G0272040,DDB_G0272040,hypothetical protein
DDB_G0272042,DDB_G0272042,hypothetical protein
DDB_G0272048,DDB_G0272048,hypothetical protein
DDB_G0272050,DDB_G0272050,hypothetical protein
DDB_G0272058,DDB_G0272058,hypothetical protein
DDB_G0272060,DDB_G0272060,hypothetical protein
DDB_G0272062,DDB_G0272062,hypothetical protein
DDB_G0272064,DDB_G0272064,hypothetical protein
DDB_G0272066,DDB_G0272066,hypothetical protein
DDB_G0272068,DDB_G0272068,hypothetical protein
DDB_G0272070,DDB_G0272070,hypothetical protein
DDB_G0272072,DDB_G0272072,hypothetical protein
DDB_G0272074,DDB_G0272074,hypothetical protein
DDB_G0272086,DDB_G0272086,hypothetical protein
DDB_G0272088,DDB_G0272088,hypothetical protein
DDB_G0272090,DDB_G0272090,hypothetical protein
DDB_G0272094,DDB_G0272094,hypothetical protein
DDB_G0272096,DDB_G0272096,hypothetical protein
DDB_G0272098,DDB_G0272098,hypothetical protein
DDB_G0272100,DDB_G0272100,hypothetical protein
DDB_G0272102,DDB_G0272102,hypothetical protein
DDB_G0272112,myoJ,hypothetical protein
DDB_G0272114,orfR1062,hypothetical protein
DDB_G0272122,DDB_G0272122,hypothetical protein
DDB_G0272126,DDB_G0272126,hypothetical protein
DDB_G0272128,DDB_G0272128,hypothetical protein
DDB_G0272134,DDB_G0272134,hypothetical protein
DDB_G0272140,DDB_G0272140,hypothetical protein
DDB_G0272142,DDB_G0272142,hypothetical protein
DDB_G0272144,DDB_G0272144,hypothetical protein
DDB_G0272146,DDB_G0272146,hypothetical protein
DDB_G0272148,DDB_G0272148,hypothetical protein
DDB_G0272152,DDB_G0272152,hypothetical protein
DDB_G0272156,DDB_G0272156,hypothetical protein
DDB_G0272158,DDB_G0272158,hypothetical protein
DDB_G0272160,DDB_G0272160,hypothetical protein
DDB_G0272162,DDB_G0272162,hypothetical protein
DDB_G0272164,DDB_G0272164,hypothetical protein
DDB_G0272170,gnt8,hypothetical protein
DDB_G0272172,gnt6,hypothetical protein
DDB_G0272174,DDB_G0272174,hypothetical protein
DDB_G0272180,DDB_G0272180,hypothetical protein
DDB_G0272182,DDB_G0272182,hypothetical protein
DDB_G0272188,DDB_G0272188,hypothetical protein
DDB_G0272192,DDB_G0272192,hypothetical protein
DDB_G0272194,DDB_G0272194,hypothetical protein
DDB_G0272196,DDB_G0272196,hypothetical protein
DDB_G0272198,DDB_G0272198,hypothetical protein
DDB_G0272200,DDB_G0272200,hypothetical protein
DDB_G0272206,DDB_G0272206,hypothetical protein
DDB_G0272212,DDB_G0272212,hypothetical protein
DDB_G0272214,DDB_G0272214,hypothetical protein
DDB_G0272216,aslF,hypothetical protein
DDB_G0272218,DDB_G0272218,hypothetical protein
DDB_G0272220,DDB_G0272220,hypothetical protein
DDB_G0272226,DDB_G0272226,hypothetical protein
DDB_G0272230,DDB_G0272230,hypothetical protein
DDB_G0272232,DDB_G0272232,hypothetical protein
DDB_G0272238,DDB_G0272238,hypothetical protein
DDB_G0272248,act16,hypothetical protein
DDB_G0272252,DDB_G0272252,hypothetical protein
DDB_G0272262,DDB_G0272262,hypothetical protein
DDB_G0272264,DDB_G0272264,hypothetical protein
DDB_G0272268,DDB_G0272268,hypothetical protein
DDB_G0272270,DDB_G0272270,hypothetical protein
DDB_G0272272,DDB_G0272272,hypothetical protein
DDB_G0272276,gnt5,hypothetical protein
DDB_G0272278,DDB_G0272278,hypothetical protein
DDB_G0272288,DDB_G0272288,hypothetical protein
DDB_G0272290,DDB_G0272290,hypothetical protein
DDB_G0272292,DDB_G0272292,hypothetical protein
DDB_G0272294,DDB_G0272294,hypothetical protein
DDB_G0272298,DDB_G0272298,hypothetical protein
DDB_G0272300,aslE,hypothetical protein
DDB_G0272302,DDB_G0272302,hypothetical protein
DDB_G0272310,DDB_G0272310,hypothetical protein
DDB_G0272314,DDB_G0272314,hypothetical protein
DDB_G0272316,DDB_G0272316,hypothetical protein
DDB_G0272318,DDB_G0272318,hypothetical protein
DDB_G0272322,DDB_G0272322,hypothetical protein
DDB_G0272328,DDB_G0272328,hypothetical protein
DDB_G0272330,DDB_G0272330,hypothetical protein
DDB_G0272334,DDB_G0272334,hypothetical protein
DDB_G0272336,DDB_G0272336,hypothetical protein
DDB_G0272338,DDB_G0272338,hypothetical protein
DDB_G0272340,DDB_G0272340,hypothetical protein
DDB_G0272342,DDB_G0272342,hypothetical protein
DDB_G0272348,DDB_G0272348,hypothetical protein
DDB_G0272356,DDB_G0272356,hypothetical protein
DDB_G0272358,DDB_G0272358,hypothetical protein
DDB_G0272364,DDB_G0272364,hypothetical protein
DDB_G0272366,DDB_G0272366,hypothetical protein
DDB_G0272368,DDB_G0272368,hypothetical protein
DDB_G0272370,DDB_G0272370,hypothetical protein
DDB_G0272376,DDB_G0272376,hypothetical protein
DDB_G0272378,DDB_G0272378,hypothetical protein
DDB_G0272380,DDB_G0272380,hypothetical protein
DDB_G0272382,DDB_G0272382,hypothetical protein
DDB_G0272388,DDB_G0272388,hypothetical protein
DDB_G0272392,DDB_G0272392,hypothetical protein
DDB_G0272396,DDB_G0272396,hypothetical protein
DDB_G0272398,DDB_G0272398,hypothetical protein
DDB_G0272400,DDB_G0272400,hypothetical protein
DDB_G0272402,DDB_G0272402,hypothetical protein
DDB_G0272404,DDB_G0272404,hypothetical protein
DDB_G0272406,DDB_G0272406,hypothetical protein
DDB_G0272408,DDB_G0272408,hypothetical protein
DDB_G0272416,DDB_G0272416,hypothetical protein
DDB_G0272420,DDB_G0272420,hypothetical protein
DDB_G0272422,gnt7,hypothetical protein
DDB_G0272432,DDB_G0272432,hypothetical protein
DDB_G0272434,DDB_G0272434,hypothetical protein
DDB_G0272436,DDB_G0272436,hypothetical protein
DDB_G0272438,DDB_G0272438,hypothetical protein
DDB_G0272442,DDB_G0272442,hypothetical protein
DDB_G0272448,DDB_G0272448,hypothetical protein
DDB_G0272450,DDB_G0272450,hypothetical protein
DDB_G0272452,DDB_G0272452,hypothetical protein
DDB_G0272454,DDB_G0272454,hypothetical protein
DDB_G0272458,DDB_G0272458,hypothetical protein
DDB_G0272460,DDB_G0272460,hypothetical protein
DDB_G0272464,DDB_G0272464,hypothetical protein
DDB_G0272468,DDB_G0272468,hypothetical protein
DDB_G0272470,DDB_G0272470,hypothetical protein
DDB_G0272472,DDB_G0272472,hypothetical protein
DDB_G0272474,DDB_G0272474,hypothetical protein
DDB_G0272480,DDB_G0272480,hypothetical protein
DDB_G0272482,DDB_G0272482,hypothetical protein
DDB_G0272490,DDB_G0272490,hypothetical protein
DDB_G0272492,DDB_G0272492,hypothetical protein
DDB_G0272494,DDB_G0272494,hypothetical protein
DDB_G0272496,DDB_G0272496,hypothetical protein
DDB_G0272500,DDB_G0272500,hypothetical protein
DDB_G0272502,DDB_G0272502,hypothetical protein
DDB_G0272504,DDB_G0272504,hypothetical protein
DDB_G0272506,DDB_G0272506,hypothetical protein
DDB_G0272508,DDB_G0272508,hypothetical protein
DDB_G0272510,DDB_G0272510,hypothetical protein
DDB_G0272512,DDB_G0272512,hypothetical protein
DDB_G0272514,DDB_G0272514,hypothetical protein
